Year,Asian Men,Asian Women,Black Men,Black Women,Hispanic Men,Hispanic Women,Total Men,Total Women,White Men,White Women
1988,63280.0,45150.0,47530.0,38590.0,41650.0,34640.0,62200.0,41080.0,63530.0,41580.0
1989,62920.0,47750.0,45660.0,38870.0,41030.0,35010.0,61090.0,41950.0,63800.0,42290.0
1990,57050.0,45450.0,45010.0,38450.0,40790.0,33410.0,59000.0,42250.0,61560.0,42730.0
1991,62030.0,43550.0,45400.0,38500.0,40670.0,33410.0,60510.0,42270.0,62250.0,42770.0
1992,61220.0,45740.0,44930.0,39640.0,39200.0,34270.0,60570.0,42880.0,61890.0,43320.0
1993,60490.0,47650.0,45060.0,38790.0,39440.0,32800.0,59520.0,42570.0,60850.0,43110.0
1994,61410.0,46840.0,45480.0,38140.0,38910.0,33650.0,59100.0,42530.0,60530.0,43340.0
1995,59080.0,46550.0,45710.0,38670.0,38130.0,32140.0,58940.0,42100.0,60200.0,42870.0
1996,62810.0,46590.0,48140.0,39150.0,38390.0,34030.0,58600.0,43230.0,60100.0,44050.0
1997,61900.0,49590.0,47180.0,39330.0,38580.0,33860.0,60100.0,44570.0,62820.0,45210.0
1998,61330.0,47660.0,47630.0,39880.0,39240.0,33850.0,62240.0,45540.0,63690.0,46210.0
1999,63640.0,49290.0,51300.0,41790.0,38670.0,33440.0,62780.0,45400.0,64160.0,45970.0
2000,67630.0,50820.0,50200.0,41840.0,39650.0,34450.0,62120.0,45800.0,64430.0,47100.0
2001,68260.0,50040.0,51130.0,43370.0,40910.0,35050.0,62420.0,47650.0,64960.0,48810.0
2002,67460.0,50630.0,50610.0,43300.0,41830.0,35290.0,63510.0,48650.0,65300.0,49230.0
2003,71920.0,51420.0,50870.0,42550.0,41160.0,35290.0,64170.0,48480.0,65030.0,49180.0
2004,70800.0,55420.0,48160.0,42690.0,41030.0,36140.0,62800.0,48090.0,63960.0,48700.0
2005,71910.0,54000.0,49480.0,44390.0,40050.0,36230.0,61920.0,47660.0,62810.0,48130.0
2006,74780.0,57160.0,50550.0,44130.0,42250.0,36630.0,61440.0,47270.0,64190.0,49090.0
2007,71880.0,57230.0,51130.0,43960.0,42810.0,37720.0,63950.0,49760.0,65220.0,50380.0
2008,70200.0,57720.0,51020.0,43060.0,42330.0,36710.0,63400.0,48880.0,64770.0,49500.0
2009,71060.0,58120.0,51480.0,43690.0,43100.0,37320.0,64700.0,49810.0,66850.0,50410.0
2010,70040.0,55910.0,49900.0,43750.0,42770.0,38170.0,64940.0,49960.0,67970.0,50610.0
2011,72350.0,53700.0,51860.0,44000.0,41830.0,38120.0,63310.0,48750.0,65770.0,49540.0
2012,75660.0,58740.0,49630.0,43670.0,41550.0,36630.0,63660.0,48700.0,64970.0,50270.0
2013,73180.0,55815.0,50930.0,42360.0,41000.0,38750.0,63690.0,49620.0,64430.0,51195.0
2014,71480.0,58170.0,51120.0,42100.0,43350.0,38030.0,63250.0,49740.0,64050.0,50770.0
2015,77870.0,60890.0,51640.0,45480.0,44820.0,39080.0,64340.0,51180.0,65130.0,51780.0
2016,81690.0,63030.0,51420.0,45110.0,46510.0,39250.0,64300.0,51740.0,65030.0,52430.0
2017,82930.0,63230.0,51275.0,45115.0,46795.0,39255.0,63835.0,51760.0,65645.0,53935.0
2018,84420.0,66660.0,53240.0,45630.0,47990.0,40230.0,66330.0,54100.0,67620.0,54900.0
2019,89450.0,67150.0,53950.0,48580.0,49080.0,42680.0,67920.0,55910.0,70940.0,57740.0
2020,96490.0,80150.0,59070.0,50570.0,52700.0,45320.0,71780.0,59670.0,72390.0,60070.0
2021,91590.0,71520.0,56200.0,52120.0,51310.0,44240.0,68510.0,57360.0,69140.0,57620.0
2022,90880.0,73390.0,53690.0,51430.0,49300.0,42770.0,64830.0,54440.0,67700.0,55230.0
2023,90830.0,71520.0,55570.0,50470.0,50120.0,43880.0,66790.0,55240.0,69480.0,55630.0
